case,mode,ordinary,hint,replacement,ordinary_run,hint_run,hint_search_complete,hint_failure_phase,hint_failure_seconds,term_fallback,ordinary_seconds,hint_seconds,replacement_seconds,hint_lines,ordinary_error,hint_error,replacement_error,ordinary_timeout,hint_timeout,ordinary_started,hint_started
SF/VFA/05-SelectionCaseStudy::selection_sort_is_correct,search,True,True,True,v4,v5,True,,,False,0.021662386,0.033879743,0.013641189,10,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selection_sort_perm,search,True,True,True,v4,v5,True,,,False,0.015344119,0.025155346,0.009230959,7,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selection_sort_sorted,search,True,True,True,v4,v5,True,,,False,0.016385458,0.029976237,0.011646523,9,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selsort'_example,search,True,True,True,v4,v5,True,,,False,2.295606387,3.187589883,1.047384298,16,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selsort'_is_correct,search,True,True,True,v4,v5,True,,,False,0.031076537,0.05208937,0.024678105,12,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selsort'_perm,search,False,False,,v4,v5,False,discovery,88.083562364,False,103.008311064,,,,/tmp/waterfall-hints-nq2487rv/Probe-search-039-syntax.lean:197:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-h4gvwba7/Probe-search-039-api.lean:197:74: error: waterfall reached the ambient resource limit,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selsort'_sorted,search,True,True,True,v4,v5,True,,,False,26.459554488,26.926932637,0.414261483,20,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selsort_perm,search,False,False,,v4,v5,False,discovery,86.308166975,False,84.758448062,,,,/tmp/waterfall-hints-6ixa3nyn/Probe-search-028-syntax.lean:111:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-uhldwt5g/Probe-search-028-api.lean:111:73: error: waterfall reached the ambient resource limit,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::selsort_sorted,search,True,True,True,v4,v5,True,,,False,13.013747393,11.40947099,0.349560502,24,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::sort_pi,search,True,True,True,v4,v5,True,,,False,0.026687763,0.019330356,0.011021882,7,,,,False,False,True,True
SF/VFA/05-SelectionCaseStudy::sorted_iff_sorted,search,False,False,,v4,v5,False,discovery,80.908637114,False,83.512680824,,,,/tmp/waterfall-hints-zwcy9n3b/Probe-search-045-syntax.lean:248:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-9w0owkan/Probe-search-045-api.lean:248:78: error: waterfall reached the ambient resource limit,,False,False,True,True
SF/VFA/06-MergeCaseStudy::list_ind2',search,True,True,True,v4,v5,True,,,True,50.468834242,43.66374883,0.000347822,3,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::merge2,search,True,True,True,v4,v5,True,,,False,0.018482195,0.02753586,0.010358079,7,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::merge_nil_l,search,True,True,True,v4,v5,True,,,False,0.016099696,0.022881677,0.007868115,7,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::merge_perm,search,True,True,True,v4,v5,True,,,False,12.610092347,13.636426481,0.664990933,26,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::mergesort_correct,search,True,True,True,v4,v5,True,,,False,0.461888461,0.474686885,0.027709599,10,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::mergesort_perm,search,False,False,,v4,v5,False,discovery,92.804660781,False,94.598535023,,,,/tmp/waterfall-hints-nfhmg2w4/Probe-search-059-syntax.lean:185:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-esa1imb5/Probe-search-059-api.lean:185:71: error: waterfall reached the ambient resource limit,,False,False,True,True
SF/VFA/06-MergeCaseStudy::mergesort_sorts,search,True,True,True,v4,v5,True,,,False,38.311352034,32.894991636,0.055595495,14,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::sorted_merge,search,False,False,,v4,v5,False,discovery,127.459435636,False,145.785440407,,,,/tmp/waterfall-hints-_kff2h_g/Probe-search-056-syntax.lean:160:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-y6yev672/Probe-search-056-api.lean:160:69: error: waterfall reached the ambient resource limit,,False,False,True,True
SF/VFA/06-MergeCaseStudy::sorted_merge1,search,True,True,True,v4,v5,True,,,False,0.240642382,0.304201309,0.093557856,7,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::split_len,search,True,True,True,v4,v5,True,,,False,0.01924447,0.033817228,0.013463881,6,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::split_len',search,True,True,True,v4,v5,True,,,False,0.036738964,0.071569913,0.066302791,7,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::split_len_first_try,search,True,True,True,v4,v5,True,,,False,0.325136747,0.387745113,0.091095663,9,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::split_len_via_div2,search,True,True,True,v4,v5,True,,,False,0.021425522,0.033896363,0.0134531,6,,,,False,False,True,True
SF/VFA/06-MergeCaseStudy::split_perm,search,False,False,,v4,v5,False,discovery,84.065287133,False,82.492230379,,,,/tmp/waterfall-hints-o6kj4d6u/Probe-search-052-syntax.lean:88:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-t6x16w4l/Probe-search-052-api.lean:88:67: error: waterfall reached the ambient resource limit,,False,False,True,True
SF/VFA/07-SearchTreeCaseStudy::NoDup_append,search,True,True,True,v4,v5,True,,,False,0.233464751,0.304219046,0.035445853,3,,,,False,False,True,True
SF/VFA/07-SearchTreeCaseStudy::bound_notP,search,True,True,True,v4,v5,True,,,False,0.691141441,0.858343331,0.097213078,16,,,,False,False,True,True
SF/VFA/07-SearchTreeCaseStudy::fast_elements_tr_helper,search,True,True,True,v4,v5,True,,,False,0.140550037,0.158091354,0.035502491,15,,,,False,False,True,True
SF/VFA/08-QueueCaseStudy::bq_deq_to_list,search,True,True,True,v4,v5,True,,,False,0.584368488,0.821755376,0.226362698,11,,,,False,False,True,True
SF/VFA/10-RedblackCaseStudy::all_elements_balance,search,True,True,True,v4,v5,True,,,False,14.154498035,11.883037365,10.414069369,8,,,,False,False,True,True
SF/VFA/10-RedblackCaseStudy::balance_BST,search,False,False,,v4,v5,False,discovery,142.883414904,False,140.474118183,,,,/tmp/waterfall-hints-o6kj4d6u/Probe-search-020-syntax.lean:329:4: error: waterfall reached the ambient resource limit,/tmp/waterfall-hints-t6x16w4l/Probe-search-020-api.lean:329:71: error: waterfall reached the ambient resource limit,,False,False,True,True
SF/VFA/10-RedblackCaseStudy::balance_lookup,search,True,True,True,v4,v5,True,,,False,28.770266125,26.273238307,6.217257602,11,,,,False,False,True,True
SF/VFA/10-RedblackCaseStudy::elements_balance,search,True,True,True,v4,v5,True,,,False,17.015874739,10.39348392,11.111327735,35,,,,False,False,True,True
SF/VFA/10-RedblackCaseStudy::insert_BST,search,True,True,True,v4,v5,True,,,False,0.306004412,0.318349643,0.057241476,10,,,,False,False,True,True
SF/VFA/13-BinomCaseStudy::carry_valid,search,True,True,True,v4,v5,True,,,False,4.689922585,3.815145371,0.165871172,33,,,,False,False,True,True
SF/VFA/13-BinomCaseStudy::delete_max_aux_valid,search,True,True,True,v4,v5,True,,,False,0.709663029,0.758063512,0.167967168,21,,,,False,False,True,True
SF/VFA/13-BinomCaseStudy::smash_elems,search,True,True,True,v4,v5,True,,,False,0.520856096,0.555687583,0.08653733,5,,,,False,False,True,True
SF/VFA/13-BinomCaseStudy::smash_valid,search,True,True,True,v4,v5,True,,,False,4.338961533,4.399022262,0.661937713,8,,,,False,False,True,True
SF/VFA/13-BinomCaseStudy::tree_elems_ext,search,True,True,True,v4,v5,True,,,False,0.126854002,0.141786731,0.029732249,4,,,,False,False,True,True
