task_id,mode,classification,stop_reason,discovery_nanos,successful_search_rerun_nanos
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_idempotent.prove,committed,closed,other_or_unreported,2315458046,2306806568
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_idempotent.prove,search,closed,other_or_unreported,3411252401,3409779760
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_perm.prove,committed,closed,other_or_unreported,7537312531,7526612544
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.maybe_swap_perm.prove,search,completed_discovery_failure,ambient_resource_limit,21916658286,
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.not_a_permutation.prove,committed,closed,other_or_unreported,22915824,22400821
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.not_a_permutation.prove,search,closed,other_or_unreported,22845718,22999323
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.perm_example.prove,committed,closed,other_or_unreported,362411766,359451097
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.perm_example.prove,search,closed,other_or_unreported,361482364,361006492
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.permut_example.prove,committed,closed,other_or_unreported,397865679,392190744
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.permut_example.prove,search,closed,other_or_unreported,390899679,392548635
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.reflect_example1'.prove,committed,closed,other_or_unreported,1162188750,1111562782
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.reflect_example1'.prove,search,closed,other_or_unreported,1104981945,1106697600
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.reflect_example1.prove,committed,closed,other_or_unreported,1548523419,1450653723
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.reflect_example1.prove,search,closed,other_or_unreported,1447798656,1445839735
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.reflect_example2.prove,committed,closed,other_or_unreported,1136390870,1134450627
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.reflect_example2.prove,search,closed,other_or_unreported,1130626889,1127930909
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.truncated_subtraction.prove,committed,completed_discovery_failure,ambient_resource_limit,38743570838,
sf.lean.VFA.01-PermCaseStudy.theorem.CaseStudies.SF.VFA.PermCaseStudy.truncated_subtraction.prove,search,closed,other_or_unreported,4637622451,5006069656
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.Forall.mem.prove,committed,closed,other_or_unreported,2071530521,4098945452
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.Forall.mem.prove,search,closed,other_or_unreported,12962778470,12734825426
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.Forall.of_mem.prove,committed,closed,other_or_unreported,7733298520,7803711847
